"","study","trial","year","cultivar","reaction","location","state","n","AI","group","n_spray","n_spray2","yield_check","sev_check","sev","V_sev","publication","mean_trial","cons_group"
"1",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,2838,38.8,38.8,17.4241126084,"Artigo","18.47","6"
"2",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,16.6,17.4241126084,"Artigo","18.47","6"
"3",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,18.9,17.4241126084,"Artigo","18.47","6"
"4",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,2838,38.8,19.5,17.4241126084,"Artigo","18.47","6"
"5",1,1,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,2838,38.8,13.9,17.4241126084,"Artigo","18.47","6"
"6",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,3085,34.9,34.9,29.6593516816,"Artigo","15.74","6"
"7",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,17.5,29.6593516816,"Artigo","15.74","6"
"8",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,12.8,29.6593516816,"Artigo","15.74","6"
"9",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,3085,34.9,15.3,29.6593516816,"Artigo","15.74","6"
"10",1,2,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,3085,34.9,9.4,29.6593516816,"Artigo","15.74","6"
"11",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,2838,38.8,38.8,21.5092632134641,"Artigo","18.186250000000001","5"
"12",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,19.01,21.5092632134641,"Artigo","18.186250000000001","5"
"13",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,17.46,21.5092632134641,"Artigo","18.186250000000001","5"
"14",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,20.95,21.5092632134641,"Artigo","18.186250000000001","5"
"15",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,14.74,21.5092632134641,"Artigo","18.186250000000001","5"
"16",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,14.74,21.5092632134641,"Artigo","18.186250000000001","5"
"17",2,3,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,2838,38.8,16.3,21.5092632134641,"Artigo","18.186250000000001","5"
"18",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,3085,34.9,34.9,19.9580905806434,"Artigo","17.493749999999999","5"
"19",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,18.85,19.9580905806434,"Artigo","17.493749999999999","5"
"20",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,12.91,19.9580905806434,"Artigo","17.493749999999999","5"
"21",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,20.24,19.9580905806434,"Artigo","17.493749999999999","5"
"22",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,13.96,19.9580905806434,"Artigo","17.493749999999999","5"
"23",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,18.15,19.9580905806434,"Artigo","17.493749999999999","5"
"24",2,4,2000,"BRS23","MS","Passo Fundo","RS",4,"TEBU","DMI",1,1,3085,34.9,17.8,19.9580905806434,"Artigo","17.493749999999999","5"
"25",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"AACHECK","Check",0,0,4984,5.93,5.93,1.260578790025,"Artigo","2.1549999999999998","5"
"26",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"TEBU","DMI",1,1,4984,5.93,0.72,1.260578790025,"Artigo","2.1549999999999998","5"
"27",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"TEBU","DMI",1,1,4984,5.93,1.35,1.260578790025,"Artigo","2.1549999999999998","5"
"28",3,5,2004,"BRSLouro","MR","Muitos Capoes","RS",4,"TEBU","DMI",1,1,4984,5.93,2.76,1.260578790025,"Artigo","2.1549999999999998","5"
"29",3,6,2005,"BRSLouro","MR","Lages","SC",4,"AACHECK","Check",0,0,1835,12.71,12.71,0.2780874756,"Artigo","5.17","5"
"30",3,6,2005,"BRSLouro","MR","Lages","SC",4,"TEBU","DMI",1,1,1835,12.71,3.36,0.2780874756,"Artigo","5.17","5"
"31",7,16,2010,"CD114","MS","Toledo","PR",4,"AACHECK","Check",0,0,2847.3,4.14,4.14,0.479800083298626,"Artigo","NA","5"
"32",7,16,2010,"CD114","MS","Toledo","PR",4,"TEBU","DMI",1,1,2847.3,4.14,0.59,0.479800083298626,"Artigo","NA","5"
"33",10,19,2011,"BRS208","MS","Castro","PR",4,"AACHECK","Check",0,0,3610,13.7,13.7,3.51936693044565,"Boletim","NA","4"
"34",10,19,2011,"BRS208","MS","Castro","PR",4,"CARB","MBC",2,2,3610,13.7,8.7,3.51936693044565,"Boletim","NA","4"
"35",10,19,2011,"BRS208","MS","Castro","PR",4,"PROP","DMI",2,2,3610,13.7,9.9,3.51936693044565,"Boletim","NA","4"
"36",10,19,2011,"BRS208","MS","Castro","PR",4,"TEBU","DMI",2,2,3610,13.7,8.5,3.51936693044565,"Boletim","NA","4"
"37",10,19,2011,"BRS208","MS","Castro","PR",4,"TEBU","DMI",2,2,3610,13.7,9.6,3.51936693044565,"Boletim","NA","4"
"38",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"AACHECK","Check",0,0,2718,7.7,7.7,6.93591211995002,"Boletim","NA","4"
"39",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"CARB","MBC",2,2,2718,7.7,1.2,6.93591211995002,"Boletim","NA","4"
"40",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"PROP","DMI",2,2,2718,7.7,1.8,6.93591211995002,"Boletim","NA","4"
"41",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"TEBU","DMI",2,2,2718,7.7,1.3,6.93591211995002,"Boletim","NA","4"
"42",10,20,2011,"BRS208","MS","Cruz Alta","RS",4,"TEBU","DMI",2,2,2718,7.7,1.2,6.93591211995002,"Boletim","NA","4"
"43",10,21,2011,"BRS208","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,2569,1.3,1.3,0.469856309870887,"Boletim","NA","4"
"44",10,21,2011,"BRS208","MS","Passo Fundo","RS",4,"CARB","MBC",2,2,2569,1.3,0.4,0.469856309870887,"Boletim","NA","4"
"45",10,21,2011,"BRS208","MS","Passo Fundo","RS",4,"PROP","DMI",2,2,2569,1.3,0.7,0.469856309870887,"Boletim","NA","4"
"46",10,21,2011,"BRS208","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,2569,1.3,0.3,0.469856309870887,"Boletim","NA","4"
"47",10,21,2011,"BRS208","MS","Passo Fundo","RS",4,"TEBU","DMI",2,2,2569,1.3,0.4,0.469856309870887,"Boletim","NA","4"
"48",10,22,2011,"BRS208","MS","Condor","RS",4,"AACHECK","Check",0,0,3050,3.8,3.8,1.68679716784673,"Boletim","NA","4"
"49",10,22,2011,"BRS208","MS","Condor","RS",4,"CARB","MBC",2,2,3050,3.8,2.4,1.68679716784673,"Boletim","NA","4"
"50",10,22,2011,"BRS208","MS","Condor","RS",4,"PROP","DMI",2,2,3050,3.8,1.8,1.68679716784673,"Boletim","NA","4"
"51",10,22,2011,"BRS208","MS","Condor","RS",4,"TEBU","DMI",2,2,3050,3.8,0.8,1.68679716784673,"Boletim","NA","4"
"52",10,22,2011,"BRS208","MS","Condor","RS",4,"TEBU","DMI",2,2,3050,3.8,0.9,1.68679716784673,"Boletim","NA","4"
"53",10,23,2011,"BRS208","MS","Lages","SC",4,"AACHECK","Check",0,0,4190,0.5,0.5,0.00134431848386262,"Boletim","0.12","4"
"54",10,23,2011,"BRS208","MS","Lages","SC",4,"CARB","MBC",2,2,4190,0.5,0.1,0.00134431848386262,"Boletim","0.12","4"
"55",10,23,2011,"BRS208","MS","Lages","SC",4,"PROP","DMI",2,2,4190,0.5,0.1,0.00134431848386262,"Boletim","0.12","4"
"56",10,23,2011,"BRS208","MS","Lages","SC",4,"TEBU","DMI",2,2,4190,0.5,0.1,0.00134431848386262,"Boletim","0.12","4"
"57",10,23,2011,"BRS208","MS","Lages","SC",4,"TEBU","DMI",2,2,4190,0.5,0.1,0.00134431848386262,"Boletim","0.12","4"
"58",10,24,2011,"BRS208","MS","Guarapuava","PR",4,"AACHECK","Check",0,0,4198,10,10,2.51978342357351,"Boletim","NA","4"
"59",10,24,2011,"BRS208","MS","Guarapuava","PR",4,"CARB","MBC",2,2,4198,10,7.5,2.51978342357351,"Boletim","NA","4"
"60",10,24,2011,"BRS208","MS","Guarapuava","PR",4,"PROP","DMI",2,2,4198,10,6,2.51978342357351,"Boletim","NA","4"
"61",10,24,2011,"BRS208","MS","Guarapuava","PR",4,"TEBU","DMI",2,2,4198,10,3.7,2.51978342357351,"Boletim","NA","4"
"62",10,24,2011,"BRS208","MS","Guarapuava","PR",4,"TEBU","DMI",2,2,4198,10,4.2,2.51978342357351,"Boletim","NA","4"
"63",10,25,2011,"BRS208","MS","Ponta Grossa","PR",4,"AACHECK","Check",0,0,2993,1.1,1.1,0.376145356101624,"Boletim","NA","4"
"64",10,25,2011,"BRS208","MS","Ponta Grossa","PR",4,"CARB","MBC",2,2,2993,1.1,0.6,0.376145356101624,"Boletim","NA","4"
"65",10,25,2011,"BRS208","MS","Ponta Grossa","PR",4,"PROP","DMI",2,2,2993,1.1,0.3,0.376145356101624,"Boletim","NA","4"
"66",10,25,2011,"BRS208","MS","Ponta Grossa","PR",4,"TEBU","DMI",2,2,2993,1.1,0.9,0.376145356101624,"Boletim","NA","4"
"67",10,25,2011,"BRS208","MS","Ponta Grossa","PR",4,"TEBU","DMI",2,2,2993,1.1,0.2,0.376145356101624,"Boletim","NA","4"
"68",13,32,2012,"BRS208","MS","Ponta Grossa","PR",4,"AACHECK","Check",0,0,2024,3,3,2.40654935443565,"Boletim","NA","3"
"69",13,32,2012,"BRS208","MS","Ponta Grossa","PR",4,"CARB","MBC",2,2,2024,3,4.1,2.40654935443565,"Boletim","NA","3"
"70",13,32,2012,"BRS208","MS","Ponta Grossa","PR",4,"PROP","DMI",2,2,2024,3,2.3,2.40654935443565,"Boletim","NA","3"
"71",13,33,2012,"BRS208","MS","Ponta Grossa","PR",4,"AACHECK","Check",0,0,4033,6.3,6.3,3.125,"Boletim","NA","3"
"72",13,33,2012,"BRS208","MS","Ponta Grossa","PR",4,"CARB","MBC",2,2,4033,6.3,2.9,3.125,"Boletim","NA","3"
"73",13,33,2012,"BRS208","MS","Ponta Grossa","PR",4,"PROP","DMI",2,2,4033,6.3,4.7,3.125,"Boletim","NA","3"
"74",13,34,2012,"BRS208","MS","Cruz Alta","RS",4,"AACHECK","Check",0,0,3015,8.7,8.7,1.17138692211578,"Boletim","NA","3"
"75",13,34,2012,"BRS208","MS","Cruz Alta","RS",4,"CARB","MBC",2,2,3015,8.7,5.3,1.17138692211578,"Boletim","NA","3"
"76",13,34,2012,"BRS208","MS","Cruz Alta","RS",4,"PROP","DMI",2,2,3015,8.7,5.8,1.17138692211578,"Boletim","NA","3"
"77",13,35,2012,"BRS208","MS","Capao Bonito do Sul","RS",4,"AACHECK","Check",0,0,793,6.6,6.6,1.78180966264057,"Boletim","NA","3"
"78",13,35,2012,"BRS208","MS","Capao Bonito do Sul","RS",4,"CARB","MBC",2,2,793,6.6,4.5,1.78180966264057,"Boletim","NA","3"
"79",13,35,2012,"BRS208","MS","Capao Bonito do Sul","RS",4,"PROP","DMI",2,2,793,6.6,9.6,1.78180966264057,"Boletim","NA","3"
"80",13,36,2012,"BRS208","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,2673,1.8,1.8,0.187421907538526,"Boletim","NA","3"
"81",13,36,2012,"BRS208","MS","Passo Fundo","RS",4,"CARB","MBC",2,2,2673,1.8,1,0.187421907538526,"Boletim","NA","3"
"82",13,36,2012,"BRS208","MS","Passo Fundo","RS",4,"PROP","DMI",2,2,2673,1.8,0.8,0.187421907538526,"Boletim","NA","3"
"83",13,37,2012,"BRS208","MS","Guarapuava","RS",4,"AACHECK","Check",0,0,3331,16.5,16.5,2.82871028834703,"Boletim","6.3500000000000005","7"
"84",13,37,2012,"BRS208","MS","Guarapuava","RS",4,"PROP","DMI",2,2,3331,16.5,6.4,2.82871028834703,"Boletim","6.3500000000000005","7"
"85",14,38,2013,"BRS208","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,3591,6,6,0.520616409829238,"Boletim","NA","3"
"86",14,38,2013,"BRS208","MS","Passo Fundo","RS",4,"CARB","MBC",2,2,3591,6,4,0.520616409829238,"Boletim","NA","3"
"87",14,38,2013,"BRS208","MS","Passo Fundo","RS",4,"CARB","MBC",2,2,3591,6,4,0.520616409829238,"Boletim","NA","3"
"88",14,38,2013,"BRS208","MS","Passo Fundo","RS",4,"PROP","DMI",2,2,3591,6,3,0.520616409829238,"Boletim","NA","3"
"89",14,39,2013,"BRS208","MS","Passo Fundo","RS",4,"AACHECK","Check",0,0,3478,7,7,2.08246563931695,"Boletim","NA","3"
"90",14,39,2013,"BRS208","MS","Passo Fundo","RS",4,"CARB","MBC",2,2,3478,7,3,2.08246563931695,"Boletim","NA","3"
"91",14,39,2013,"BRS208","MS","Passo Fundo","RS",4,"CARB","MBC",2,2,3478,7,2,2.08246563931695,"Boletim","NA","3"
"92",14,39,2013,"BRS208","MS","Passo Fundo","RS",4,"PROP","DMI",2,2,3478,7,3,2.08246563931695,"Boletim","NA","3"
"93",14,40,2013,"Campeiro","MS","Girua","RS",4,"AACHECK","Check",0,0,2108,8,8,4.3098857699127,"Boletim","7.9","3"
"94",14,40,2013,"Campeiro","MS","Girua","RS",4,"CARB","MBC",2,2,2108,8,9,4.3098857699127,"Boletim","7.9","3"
"95",14,40,2013,"Campeiro","MS","Girua","RS",4,"CARB","MBC",2,2,2108,8,8,4.3098857699127,"Boletim","7.9","3"
"96",14,40,2013,"Campeiro","MS","Girua","RS",4,"PROP","DMI",2,2,2108,8,8,4.3098857699127,"Boletim","7.9","3"
"97",14,41,2013,"Campeiro","MS","Capao Bonito do Sul","RS",4,"AACHECK","Check",0,0,2115,6,6,3.04734367018889,"Boletim","6.6","3"
"98",14,41,2013,"Campeiro","MS","Capao Bonito do Sul","RS",4,"CARB","MBC",2,2,2115,6,8,3.04734367018889,"Boletim","6.6","3"
"99",14,41,2013,"Campeiro","MS","Capao Bonito do Sul","RS",4,"CARB","MBC",2,2,2115,6,7,3.04734367018889,"Boletim","6.6","3"
"100",14,41,2013,"Campeiro","MS","Capao Bonito do Sul","RS",4,"PROP","DMI",2,2,2115,6,7,3.04734367018889,"Boletim","6.6","3"
"101",14,42,2013,"Fundacep Bravo","MS","Cruz Alta","RS",4,"AACHECK","Check",0,0,3996,2,2,0.130154102457309,"Boletim","NA","3"
"102",14,42,2013,"Fundacep Bravo","MS","Cruz Alta","RS",4,"CARB","MBC",2,2,3996,2,1,0.130154102457309,"Boletim","NA","3"
"103",14,42,2013,"Fundacep Bravo","MS","Cruz Alta","RS",4,"CARB","MBC",2,2,3996,2,1,0.130154102457309,"Boletim","NA","3"
"104",14,42,2013,"Fundacep Bravo","MS","Cruz Alta","RS",4,"PROP","DMI",2,2,3996,2,1,0.130154102457309,"Boletim","NA","3"
"105",14,43,2013,"BRSGuabij?","MS","Guarapuava","PR",4,"AACHECK","Check",0,0,3756,62,62,22.1018976388155,"Boletim","18.444444444444443","3"
"106",14,43,2013,"BRSGuabij?","MS","Guarapuava","PR",4,"CARB","MBC",2,2,3756,62,7,22.1018976388155,"Boletim","18.444444444444443","3"
"107",14,43,2013,"BRSGuabij?","MS","Guarapuava","PR",4,"CARB","MBC",2,2,3756,62,9,22.1018976388155,"Boletim","18.444444444444443","3"
"108",14,43,2013,"BRSGuabij?","MS","Guarapuava","PR",4,"PROP","DMI",2,2,3756,62,16,22.1018976388155,"Boletim","18.444444444444443","3"
"109",15,44,2013,"BRSGuamirim","MR","Guarapuava","PR",4,"AACHECK","Check",0,0,4392.5,50,50,0.872892198369,"Resumo","13.29","5"
"110",15,44,2013,"BRSGuamirim","MR","Guarapuava","PR",4,"CARB","MBC",1,1,4392.5,50,7.5,0.872892198369,"Resumo","13.29","5"
"111",15,44,2013,"BRSGuamirim","MR","Guarapuava","PR",4,"TEBU","DMI",1,1,4392.5,50,9.5,0.872892198369,"Resumo","13.29","5"
"112",16,45,2013,"CD105","S","Guarapuava","PR",4,"AACHECK","Check",0,0,3755.75,62,62,0.256507809156,"Resumo","14.94","3"
"113",16,45,2013,"CD105","S","Guarapuava","PR",4,"CARB","MBC",2,2,3755.75,62,7,0.256507809156,"Resumo","14.94","3"
"114",16,45,2013,"CD105","S","Guarapuava","PR",4,"CARB","MBC",2,2,3755.75,62,8.5,0.256507809156,"Resumo","14.94","3"
"115",16,45,2013,"CD105","S","Guarapuava","PR",4,"PROP","DMI",2,2,3755.75,62,15.5,0.256507809156,"Resumo","14.94","3"
"116",20,53,2014,"Tbio Sinuelo","MS","Agua Santa","RS",4,"AACHECK","Check",0,0,3159.35823754789,6.620325,6.620325,3.25410706443951,"Boletim","3.2276156249999994","9"
"117",20,53,2014,"Tbio Sinuelo","MS","Agua Santa","RS",4,"PROP","DMI",2,2,3159.35823754789,6.620325,2.098425,3.25410706443951,"Boletim","3.2276156249999994","9"
"118",20,53,2014,"Tbio Sinuelo","MS","Agua Santa","RS",4,"TEBU","DMI",2,2,3159.35823754789,6.620325,4.117675,3.25410706443951,"Boletim","3.2276156249999994","9"
"119",20,54,2014,"TEC 10","MS","Cruz Alta","RS",4,"AACHECK","Check",0,0,2077.06519849319,8.8402,8.8402,3.96297098053602,"Boletim","5.6282760000000005","8"
"120",20,54,2014,"TEC 10","MS","Cruz Alta","RS",4,"PROP","DMI",2,2,2077.06519849319,8.8402,7.47878,3.96297098053602,"Boletim","5.6282760000000005","8"
"121",20,54,2014,"TEC 10","MS","Cruz Alta","RS",4,"TEBU","DMI",2,2,2077.06519849319,8.8402,6.5722,3.96297098053602,"Boletim","5.6282760000000005","8"
"122",20,55,2014,"Fundacep46 Nova Era","MS","Girua","RS",4,"AACHECK","Check",0,0,1208.59195402299,90,90,4.22640485119862,"Boletim","46.829662500000005","8"
"123",20,55,2014,"Fundacep46 Nova Era","MS","Girua","RS",4,"PROP","DMI",2,2,1208.59195402299,90,35.095,4.22640485119862,"Boletim","46.829662500000005","8"
"124",20,55,2014,"Fundacep46 Nova Era","MS","Girua","RS",4,"TEBU","DMI",2,2,1208.59195402299,90,38.699,4.22640485119862,"Boletim","46.829662500000005","8"
"125",20,57,2014,"BRS Grauna","MS/S","Londrina","PR",4,"AACHECK","Check",0,0,67.3301867816092,92.2498497866434,92.2498497866434,37.9639740624689,"Boletim","82.483148871166293","7"
"126",20,57,2014,"BRS Grauna","MS/S","Londrina","PR",4,"PROP","DMI",2,2,67.3301867816092,92.2498497866434,68.343217554808,37.9639740624689,"Boletim","82.483148871166293","7"
"127",20,57,2014,"BRS Grauna","MS/S","Londrina","PR",4,"PROP","DMI",2,2,67.3301867816092,92.2498497866434,83.0004215508986,37.9639740624689,"Boletim","82.483148871166293","7"
"128",20,61,2014,"TBIO Itaipu","MS","Ponta Grossa","PR",4,"AACHECK","Check",0,0,3428.60899148932,0.589180589217916,0.589180589217916,0.0302103641551445,"Boletim","0.33599707890478975","4"
"129",20,61,2014,"TBIO Itaipu","MS","Ponta Grossa","PR",4,"CARB","MBC",2,2,3428.60899148932,0.589180589217916,0.250481905617037,0.0302103641551445,"Boletim","0.33599707890478975","4"
"130",20,61,2014,"TBIO Itaipu","MS","Ponta Grossa","PR",4,"PROP","DMI",2,2,3428.60899148932,0.589180589217916,0.432318423108622,0.0302103641551445,"Boletim","0.33599707890478975","4"
"131",20,61,2014,"TBIO Itaipu","MS","Ponta Grossa","PR",4,"TEBU","DMI",2,2,3428.60899148932,0.589180589217916,0.31992091551465,0.0302103641551445,"Boletim","0.33599707890478975","4"
"132",22,66,2007,"Fundacep52","S","Cruz Alta","RS",4,"AACHECK","Check",0,0,1165,7.27142857142857,7.27142857142857,0.897377245148245,"Resumo","5.7621653061224487","5"
"133",22,66,2007,"Fundacep52","S","Cruz Alta","RS",4,"CARB","MBC",1,1,1165,7.27142857142857,7.68,0.897377245148245,"Resumo","5.7621653061224487","5"
"134",22,66,2007,"Fundacep52","S","Cruz Alta","RS",4,"CARB","MBC",1,1,1165,7.27142857142857,6.9251,0.897377245148245,"Resumo","5.7621653061224487","5"
"135",22,66,2007,"Fundacep52","S","Cruz Alta","RS",4,"TEBU","DMI",1,1,1165,7.27142857142857,6.2582,0.897377245148245,"Resumo","5.7621653061224487","5"
"136",28,91,2013,"BRS208","MS","Itapiranga","SC",4,"AACHECK","Check",0,0,3187.3,6.54,6.54,17.9322853246335,"Resumo","6.9591666666666674","3"
"137",28,91,2013,"BRS208","MS","Itapiranga","SC",4,"CARB","MBC",2,2,3187.3,6.54,7.42,17.9322853246335,"Resumo","6.9591666666666674","3"
"138",28,91,2013,"BRS208","MS","Itapiranga","SC",4,"CARB","MBC",2,2,3187.3,6.54,7.22,17.9322853246335,"Resumo","6.9591666666666674","3"
"139",28,91,2013,"BRS208","MS","Itapiranga","SC",4,"PROP","DMI",2,2,3187.3,6.54,9.47,17.9322853246335,"Resumo","6.9591666666666674","3"
